,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
0,Kepler-11,c,3.15,13.5,,0.106,13.02502,0.0,,1.1,5680.0,0.95,icy
1,Kepler-11,f,2.61,2.3,,0.25,46.68876,0.0,,1.1,5680.0,0.95,rocky
2,OGLE-TR-10,b,14.011,197.046,0.4,0.0434,3.101278,,,1.17,5950.0,1.14,gassy
3,HD 210702,b,,626.1251,,1.2,354.29,0.106,,,,1.85,gassy
4,BD-08 2823,b,,14.4,,0.056,5.6,0.15,K3 V,,4746.0,0.74,icy
5,BD-08 2823,c,,104.0,,0.68,237.6,0.19,K3 V,,4746.0,0.74,gassy
6,HR 8799,c,13.0,3000.0,,38.0,69000.0,,A5 V,,,1.5,gassy
7,HD 110014,b,,3524.59,,2.14,835.477,0.462,K2 III,20.9,4445.0,2.17,gassy
8,Kepler-33,d,5.5,,,0.166,21.775754,0.0,,1.82,5904.0,1.29,icy
9,HIP 5158,b,,451.0,,0.89,345.72,0.52,,,4962.0,0.78,gassy
10,HD 44219,b,,184.33,,1.19,472.3,0.61,G2 V,1.32,5752.0,1.0,gassy
11,HD 6718,b,,496.0,,3.56,2496.0,0.1,,1.02,5746.0,0.96,gassy
12,HD 156846,b,,3359.32,,1.096,359.5546,0.84785,,2.12,5969.0,1.35,gassy
13,HD 132563,b,,473.547,,2.62,1544.0,0.22,,1.3,6289.0,1.23,gassy
14,HD 137388,b,,70.8731,,0.89,330.0,0.36,,0.82,5240.0,0.86,gassy
15,HD 85512,b,,3.6,,0.26,58.43,0.11,K5 V,,4715.0,0.69,rocky
16,HD 23127,b,,476.7,,2.4,1214.0,0.44,G2 V,,,1.13,gassy
17,HD 100655,b,,540.3,,0.76,157.57,0.085,G9 III,9.3,4861.0,2.4,gassy
18,kap CrB,b,,572.094,,2.7,1208.0,0.146,,4.71,4970.0,1.8,gassy
19,Kepler-24,c,2.8,508.5,,0.106,12.3335,,,1.07,5800.0,1.03,icy
20,GJ 667 C,b,,5.68,,0.049,7.20066,0.172,,,,,icy
21,HD 155358,b,,270.0,,0.64,194.3,0.17,G0,,5900.0,0.92,gassy
22,HD 79498,b,,425.9,,3.13,1966.1,0.59,G5,,5740.0,1.06,gassy
23,CHXR 73,b,,3994.486,,210.0,,,M3.5,,,0.35,gassy
24,HD 13189,b,,4400.0,,1.85,471.6,0.27,,41.98,4184.4,,gassy
25,GJ 433,b,,5.79,,0.058,7.3709,0.08,M1.5,,3600.0,0.48,icy
26,HIP 5158,b,,457.6752,,0.89,345.63,0.54,,0.75,4813.0,0.78,gassy
27,alf Ari,b,,572.07,,1.2,380.8,0.25,,13.9,4553.0,1.5,gassy
28,Kepler-32,b,2.2,1303.0,,0.05,5.90124,,,0.53,3900.0,0.58,icy
29,tau Gem,b,,5752.48,,,305.0,,,28.72,4482.0,,gassy
30,HD 62509,b,,920.0,,1.69,589.7,0.06,,8.9,,1.7,gassy
31,Kepler-370,c,1.91,,,0.14,19.02293,,,0.9,5852.0,,rocky
32,Kepler-400,b,1.65,,,0.087,9.024389,,,1.15,5886.0,,rocky
33,Kepler-221,b,1.71,,,0.037,2.795906,,,0.82,5243.0,,rocky
34,Kepler-367,c,1.2,,,0.253,53.578637,,,0.69,4710.0,,rocky
35,Kepler-393,c,1.33,,,0.124,14.613612,,,1.38,6189.0,,rocky
36,Kepler-304,c,2.17,,,0.054,5.315946,,,0.69,4731.0,,rocky
37,Kepler-360,b,1.65,,,0.044,3.289672,,,1.06,6053.0,,rocky
38,Kepler-101,c,1.33,,,0.068,6.029809,,,1.67,5570.0,,rocky
39,Kepler-243,c,1.99,,,0.142,20.026218,,,0.84,5228.0,,rocky
40,Kepler-261,c,2.0,,,0.156,24.570858,,,0.79,5098.0,,rocky
41,Kepler-327,d,1.73,,,0.09,13.969457,,,0.49,3799.0,,rocky
42,Kepler-136,b,2.05,,,0.106,11.5789,,,1.35,6165.0,,rocky
43,Kepler-122,d,2.2,,,0.155,21.587475,,,1.22,6050.0,,icy
44,Kepler-157,c,2.24,,,0.11,13.5405,,,1.04,5774.0,,icy
45,Kepler-147,c,2.43,,,0.216,33.416423,,,1.47,6012.0,,icy
46,Kepler-239,b,2.33,,,0.095,11.763051,,,0.76,4914.0,,icy
47,Kepler-200,b,2.13,,,0.08,8.594805,,,0.94,5678.0,,rocky
48,Kepler-243,b,2.45,,,0.062,5.715442,,,0.84,5228.0,,icy
49,Kepler-160,c,3.61,,,0.109,13.699087,,,0.88,5857.0,,icy
50,Kepler-210,c,3.62,,,0.07,7.972513,,,0.65,4559.0,,icy
51,Kepler-254,b,3.87,,,0.064,5.826662,,,0.91,5957.0,,icy
52,Kepler-172,c,2.86,,,0.068,6.388996,,,1.08,5526.0,,icy
53,Kepler-299,c,2.65,,,0.07,6.885875,,,1.03,5617.0,,icy
54,Kepler-278,c,3.59,,,0.294,51.078775,,,2.94,4991.0,,icy
55,Kepler-339,d,1.17,,,0.091,10.558345,,,0.8,5631.0,,rocky
56,Kepler-397,b,2.46,,,0.144,22.250949,,,0.77,5307.0,,icy
57,Kepler-399,b,0.96,,,0.103,14.425281,,,0.68,5502.0,,rocky
58,HD 219415,b,,317.83,,3.2,2093.3,0.4,K0 III,2.9,4820.0,1.0,gassy
59,Pr0201,b,,171.6282,,,4.4264,0.0,,1.17,6174.0,1.23,gassy
60,eps Tau,b,,2415.406,,1.93,594.9,0.151,,13.7,4901.0,2.7,gassy
61,HD 207832,b,,177.9848,,0.57,161.97,0.13,,0.9,5710.0,0.94,gassy
62,HD 207832,c,,232.0159,,2.112,1155.7,0.27,,0.9,5710.0,0.94,gassy
63,nu Oph,c,,8581.41,,6.1,3186.0,0.165,,15.1,4928.0,3.04,gassy
64,HD 5608,b,,444.962,,1.9,792.6,0.19,,5.5,4854.0,1.55,gassy
65,WASP-176,b,16.87,271.74465,0.31,0.0535,3.899052,0.0,F9,1.93,5941.0,1.34,gassy
66,WASP-16,b,13.653,264.43456,0.572,0.0415,3.1186068,,,1.09,5630.0,0.98,gassy
67,KELT-8,b,,,,,3.2440796,,,1.39,5703.0,1.02,?
68,XO-6,b,23.203,1398.452,0.62,0.0815,3.7650007,0.0,F5,1.93,6720.0,1.47,gassy
69,XO-1,b,,,,,3.941505,,,,,,?
70,WASP-19,b,,,,,,,,1.03,5503.0,0.97,?
71,HD 159868,b,,667.41,,2.25,1178.4,0.01,G5 V,,5558.0,1.09,gassy
72,HATS-4,b,12.908,,,,2.51672572,,,0.98,5403.0,,gassy
73,WASP-167,b,18.407,,,,2.02189784,,,1.94,7000.0,,gassy
74,WASP-78,b,21.633,352.7913,,,2.17518,0.0,,2.46,6100.0,1.87,gassy
75,Kepler-486,b,11.131,,,,30.3641057,,,0.8,4815.0,,gassy
76,HAT-P-12,b,10.749,66.23577,0.296,0.03838,3.21305929,0.035,,0.7,4650.0,0.73,gassy
77,HAT-P-12,b,,,,,3.21305751,,K4,0.7,4650.0,0.73,?
78,HAT-P-27,b,,,,,3.0395802,,,,,,?
79,HAT-P-33,b,,206.5895,,,,0.13,,,,1.38,gassy
80,WASP-50,b,13.675,524.4195,,,1.9551,0.01,,0.89,5400.0,1.06,gassy
81,XO-3,b,,3861.6345,,,,0.2833,,,,1.21,gassy
82,HAT-P-56,b,,,,,2.790833,,,,6568.0,,?
83,7 CMa,b,,826.3,,1.9,763.0,0.14,K1 III,2.3,4792.0,1.52,gassy
84,WASP-15,b,,,,,3.7520998,,,1.48,6300.0,1.18,?
85,HAT-P-11,b,4.36,23.4,,0.05254,4.88780244,0.218,,0.68,4780.0,0.81,icy
86,HAT-P-25,b,12.722,180.84527,0.483,0.0466,3.65281514,0.023,,0.92,5519.0,1.01,gassy
87,WASP-25,b,,,,,3.76483312,,,,,,?
88,WASP-144,b,,,,,2.2783153,,K2 V,0.81,5200.0,0.81,?
89,WASP-21,b,,,,,4.3225126,,,1.35,5924.0,1.08,?
90,HAT-P-6,b,,351.83781,,,,0.023,,,,1.29,gassy
91,HATS-55,b,,,,,4.2042001,,,1.13,6214.0,1.2,?
92,WASP-75,b,,,,,2.4841987,,F9,1.26,6100.0,1.14,?
93,WASP-2,b,11.999,,,,2.15216302,,,0.85,5147.0,,gassy
94,KOI-12,b,14.63,,,0.1463,17.8552197,0.0,,1.52,6635.0,1.31,gassy
95,HATS-41,b,,,,,4.193649,,,1.71,6424.0,1.5,?
96,Kepler-12,b,18.999,137.62039,0.11,0.05563,4.4379637,0.021,,1.48,5950.0,1.17,gassy
97,WASP-60,b,,,,,4.305003,,,,,,?
98,HAT-P-67,b,23.361,,,,4.8101507,,,2.65,6417.0,,gassy
99,Kepler-731,b,13.75,,,0.0505,3.85560355,0.0,,1.05,6028.0,1.15,gassy
100,HAT-P-54,b,10.581,578.4506,2.7,0.04122,3.799847,0.66,,0.62,4390.0,0.65,gassy
101,WASP-101,b,15.805,157.96151,0.219,0.05057,3.585722,0.068,,1.29,6380.0,1.34,gassy
102,WASP-82,b,18.159,371.8611,,,2.70579,0.0,,2.1,6480.0,1.48,gassy
103,HAT-P-56,b,16.72,,,,2.790862,,,1.44,,,gassy
104,55 Cnc,d,,1226.77,,5.446,4867.0,0.0269,,0.96,5250.0,0.9,gassy
105,KELT-11,b,,,,,4.73620495,,,2.79,5326.0,,?
106,KELT-6,b,13.372,136.661,0.311,0.07939,7.8457,0.22,F8,1.58,6102.0,1.08,gassy
107,HAT-P-37,b,13.204,371.528,0.89,0.0379,2.797436,0.058,,0.88,5500.0,0.93,gassy
108,HAT-P-36,b,,,,,1.3273468,,,1.04,5620.0,1.03,?
109,HAT-P-16,b,,,,,2.7759677,,F8,1.24,6158.0,1.22,?
110,WASP-8,b,11.635,677.61356,2.47,0.0801,8.158715,0.3057,,0.94,5600.0,1.03,gassy
111,Kepler-731,b,11.1,,,0.048,3.8556024,0.0,,0.89,5870.0,1.0,gassy
112,WASP-12,b,,,,,,,,,,,?
113,WASP-18,b,13.036,3299.0754,8.22,0.02043,0.94145181,,,1.23,6455.0,1.27,gassy
114,WASP-14,b,14.289,,,,2.2438471,,,1.33,6458.0,,gassy
115,TrES-2,b,13.372,383.30298,0.884,0.03567,2.47061323,,,0.96,5850.0,0.99,gassy
116,XO-1,b,13.563,292.391,0.64,0.049,3.94150685,0.0,,0.94,5750.0,1.03,gassy
117,WASP-118,b,16.062,,,,4.04606565,,,1.81,6404.0,,gassy
118,WASP-77 A,b,,,,,1.36002869,,,,,,?
119,KELT-17,b,,,,,3.0801735,,,,,,?
120,WASP-39,b,14.93,89.94589,0.16,0.04858,4.0552765,,,0.92,,,gassy
121,WASP-172,b,,,,,5.4774327,,,,,,?
122,HAT-P-5,b,,,,,2.788491,,,1.12,5960.0,1.04,?
123,eps CrB,b,,2129.461,,1.3,417.9,0.11,K2 III,21.0,4406.0,1.7,gassy
124,HD 4732,b,,753.23,,1.19,360.2,0.13,K0 IV,5.4,4959.0,1.74,gassy
125,HD 37605,c,,1069.771,,3.814,2720.0,0.013,K0 V,0.9,5448.0,1.0,gassy
126,HD 40307,b,,4.0,,0.0468,4.3123,0.2,K2.5 V,,4956.0,0.77,rocky
127,HD 40307,d,,9.5,,0.1321,20.432,0.07,K2.5 V,,4956.0,0.77,icy
128,HD 40307,g,,7.1,,0.6,197.8,0.29,K2.5 V,,4956.0,0.77,icy
129,HAT-P-42,b,,,,,4.6418499,,,1.53,5743.0,1.18,?
130,WASP-11,b,11.265,154.777,0.594,0.0435,3.7224747,0.0,,0.79,4980.0,0.83,gassy
131,OGLE-2019-BLG-1470L A,c,,699.2225,,3.2,,,,,,0.57,gassy
132,HAT-P-11,b,4.737,,,,,,,0.75,4864.0,,icy
133,XO-1,b,,,,,3.9415128,,,,5750.0,,?
134,HAT-P-44,b,,,,,4.3011886,,,1.03,5115.16,0.86,?
135,CoRoT-1,b,16.589,359.1479,,0.0261,1.5089557,0.0,,1.14,5950.0,1.03,gassy
136,WASP-99,b,12.33,883.53,2.79,0.0717,5.75251,0.0,F8,1.76,6180.0,1.48,gassy
137,KPS-1,b,11.545,346.4347,1.31,0.0269,1.706291,0.0,K1 V,0.91,5165.0,0.89,gassy
138,WASP-16,b,,268.88418,,,,0.015,,,,0.98,gassy
139,Kepler-718,b,13.38,,,0.0331,2.0523499,0.0,,1.05,6015.0,1.14,gassy
140,WASP-96,b,13.451,155.7367,0.352,0.0454,3.4252602,0.11,,1.05,5500.0,1.06,gassy
141,WASP-21,b,11.994,94.39551,0.301,0.05212,4.3225126,0.048,,1.06,5800.0,1.01,gassy
142,KELT-23 A,b,,,,,2.25528739,,,,,,?
143,XO-1,b,12.778,263.7989,,,3.94153,0.0,,0.88,5750.0,0.88,gassy
144,55 Cnc,d,,991.6,,5.957,5574.2,0.13,,0.94,5172.0,0.91,gassy
145,WASP-92,b,16.376,255.85315,0.346,0.0348,2.1746742,0.0,F7,1.34,6280.0,1.19,gassy
146,WASP-32,b,,,,,2.71866151,,,,,,?
147,HATS-4,b,11.433,416.03947,1.53,0.03623,2.516729,0.024,,0.93,5403.0,1.0,gassy
148,WASP-43,b,,,,,0.81347436,0.0,,0.76,4124.0,0.65,?
149,HAT-P-37,b,13.204,381.396,0.91,0.03793,2.797436,0.14,,0.88,5500.0,0.93,gassy
150,HAT-P-67,b,23.371,108.0622,0.052,0.06505,4.8101025,0.0,,2.55,6406.0,1.64,gassy
151,TrES-2,b,,,,,2.4706135,,,,,,?
152,WASP-1,b,16.623,271.415,0.348,0.03889,2.5199454,0.0,,1.47,,1.24,gassy
153,WASP-142,b,,,,,2.052868,,F8,1.64,6010.0,1.33,?
154,HAT-P-56,b,16.432,603.877,0.75,0.04232,2.7908327,0.29,,1.43,6566.0,1.3,gassy
155,HAT-P-30,b,16.141,263.7989,,,2.8106,0.04,,1.31,6304.0,1.55,gassy
156,CoRoT-1,b,,,,,1.50896877,,,,,,?
157,WASP-144,b,,,,,2.2783135,,,,,,?
158,WASP-26,b,13.804,,,,2.75673949,,,1.28,6034.0,,gassy
159,WASP-29,b,8.698,77.55052,0.7,0.04565,3.9227186,,,0.81,,,gassy
160,HAT-P-20,b,,2301.0892,,,,0.0158,,,,0.76,gassy
161,WASP-136,b,15.468,479.9233,0.773,0.0661,5.215357,,,2.21,6260.0,1.41,gassy
162,WASP-41,b,13.01,,,,3.0524408,,,0.88,5545.0,,gassy
163,HATS-35,b,15.659,,,,1.82069,,,1.35,6155.0,,gassy
164,WASP-12,b,20.389,448.1403,0.311,,1.0914199,0.0,,1.57,6300.0,1.35,gassy
165,HAT-P-2,b,13.339,2777.8342,6.8,0.0674,5.6334729,,,1.68,6290.0,1.28,gassy
166,WASP-24,b,,355.65177,,,,0.0033,,,,1.18,gassy
167,HAT-P-37,b,12.876,,,,2.79741651,,,0.87,5477.0,,gassy
168,WASP-65,b,,,,,2.31142069,,,,,,?
169,WASP-46,b,14.684,667.733,1.25,0.02448,1.43037,0.0,,0.92,5620.0,0.96,gassy
170,HAT-P-26,b,,18.91089,,,,0.14,,,,0.82,icy
171,WASP-24,b,,,,,2.34122166,,,,,,?
172,HAT-P-55,b,,,,,3.58523164,,,,,,?
173,HAT-P-5,b,14.056,336.8998,0.66,0.04071,2.788491,,,,5960.0,,gassy
174,WASP-63,b,,,,,4.378083,,,1.86,5550.0,1.28,?
175,55 Cnc,b,,263.9785,,0.115227,14.65152,0.0034,,,,0.95,gassy
176,WASP-184,b,,,,,5.181729,,,,,,?
177,HAT-P-43,b,,,,,3.332683,,,1.11,5680.35,1.01,?
178,TrES-2,b,12.85,,,0.035,2.47061339,0.0,,0.95,5850.0,0.94,gassy
179,WASP-42,b,12.576,167.49641,0.464,0.0561,4.9816819,,,0.89,5315.0,0.95,gassy
180,HAT-P-43,b,,,,,3.3326808,,,,,,?
181,HAT-P-19,b,,,,,4.0087842,,K1,0.82,4990.0,0.84,?
182,HAT-P-55,b,13.249,184.3414,0.435,0.04604,3.5852467,0.17,,1.01,5808.0,1.01,gassy
183,HAT-P-15,b,12.016,618.471,1.96,0.0964,10.863502,0.19,G5,1.08,5568.0,1.01,gassy
184,psi1 Dra B,b,,486.2799,,4.43,3117.0,0.4,G0 V,,6212.0,1.19,gassy
185,WASP-34,b,,181.1631,,,4.3176779,0.0109,,,,1.01,gassy
186,HATS-46,b,,,,,4.7423714,,,,,,?
187,WASP-66,b,15.581,737.335,1.144,0.0546,4.086052,0.11,,1.75,6580.0,1.3,gassy
188,WASP-12,b,,,,,1.09141911,,,,,,?
189,HAT-P-69,b,18.786,1137.8314,1.02,0.06555,4.7869491,0.0,,1.93,7394.0,1.65,gassy
190,WASP-42,b,,,,,4.9816819,,,0.89,5315.0,0.95,?
191,XO-3,b,15.805,2316.9807,,,3.19154,0.29,,1.54,6429.0,0.58,gassy
192,WASP-13,b,17.127,166.86075,0.182,0.0558,4.353011,0.016,,1.66,5830.0,1.22,gassy
193,WASP-29,b,,,,,3.92271159,,,,,,?
194,TrES-1,b,11.96,238.998,0.769,0.03925,3.030065,,,0.81,5230.0,0.88,gassy
195,HAT-P-69,b,18.595,,,,4.786955,,,1.91,7668.6,,gassy
196,HAT-P-11,b,,,,,4.8878009,,K4,0.75,4780.0,0.81,?
197,HAT-P-44,c,,1271.3,,1.752,872.2,0.494,,0.95,5295.0,0.94,gassy
198,CoRoT-1,b,20.594,,,,1.5089635,,,1.29,5950.0,,gassy
199,HD 196067,b,,2192.9,,5.02,3638.0,0.66,G1 V,1.73,6017.0,1.29,gassy
200,WASP-43,b,,,,,0.81347409,0.0,,0.76,4124.0,0.65,?
201,HAT-P-20,b,9.718,2310.6241,13.8,0.03617,2.8753186,0.0158,,0.69,4595.0,0.76,gassy
202,WASP-53,b,,,,,3.30984314,,,,,,?
203,KELT-11,b,,,,,4.736099,,,2.69,5375.0,1.44,?
204,XO-5,b,,331.81452,,0.04872,4.18776,0.0,G8 V,1.08,5470.0,0.88,gassy
205,HAT-P-34,b,,,,,5.4526576,,,,,,?
206,WASP-182,b,,,,,3.3769895,,,,,,?
207,WASP-63,b,15.177,,,,4.37808065,,,1.79,5570.0,,gassy
208,TrES-5,b,13.552,565.078,1.25,0.02446,1.4822446,0.0,,0.87,5171.0,0.89,gassy
209,WASP-8,b,12.745,,,,8.15845453,,,1.0,5600.0,,gassy
210,WASP-13,b,15.771,158.915,,,4.3530135,0.0,,,5989.0,1.19,gassy
211,WASP-135,b,,,,,1.4013788,,G5 V,0.96,5675.0,0.98,?
212,WASP-174,b,16.107,104.88337,0.135,0.05503,4.2337005,0.0,,1.35,6399.0,1.24,gassy
213,55 Cnc,b,,255.4,,0.1134,14.6516,0.0,,0.94,5172.0,0.91,gassy
214,WASP-24,b,,,,,2.3412127,0.0,,,6075.0,,?
215,WASP-98,b,,,,,2.9626415,,G7,0.7,5525.0,0.69,?
216,KELT-18,b,,,,,2.8717023,,F4 V,1.91,6670.0,1.52,?
217,WASP-119,b,13.852,,,,2.4997996,,,1.14,5650.0,,gassy
218,WASP-37,b,13.002,572.07,1.53,0.0446,3.577469,0.0,,1.0,5800.0,0.93,gassy
219,HAT-P-36,b,,,,,1.32734686,,,,,,?
220,HAT-P-30,b,16.466,232.96939,0.309,0.0419,2.8106084,,,1.33,,,gassy
221,HAT-P-11,b,4.84,,,0.053,4.88780271,0.0,,0.77,4777.0,0.83,icy
222,WASP-29,b,8.878,77.86835,0.61,0.04566,3.9227186,0.059,,0.81,4800.0,0.82,gassy
223,WASP-153,b,,,,,3.332609,,G0,1.73,5914.0,1.34,?
224,WASP-61,b,,,,,3.85589655,,,,,,?
225,WASP-178,b,20.809,,,,3.3448404,,,1.76,9364.0,,gassy
226,WASP-16,b,,,,,3.118598,,,1.14,5700.0,1.78,?
227,HAT-P-11,b,4.68,,,0.052,4.88780026,0.0,,0.74,4766.0,0.79,icy
228,HD 189733,b,12.756,356.92309,0.943,0.031,2.2185752,0.0039,,0.76,5040.0,0.81,gassy
229,WASP-113,b,17.289,,,,4.54173378,,,1.73,5939.3,,gassy
230,HAT-P-19,b,,,,,4.0087842,,,0.8,5007.0,0.83,?
231,HAT-P-29,b,,,,,5.723371,,F8,1.22,6087.0,1.21,?
232,HAT-P-34,b,,,,,5.452647,,,1.57,6509.0,1.34,?
233,WASP-110,b,13.877,162.09249,,,3.77840121,0.0,G9,,5400.0,,gassy
234,WASP-145 A,b,10.505,,,,1.7690121,,,0.7,4683.0,,gassy
235,HAT-P-30,b,15.02,237.10118,0.385,0.0419,2.810595,0.016,,1.22,6304.0,1.24,gassy
236,KELT-24,b,,,,,5.5514975,,,1.51,6509.0,1.46,?
237,WASP-12,b,23.998,,,,1.0914167,,,1.75,6154.0,,gassy
238,WASP-45,b,13.002,318.78349,0.79,0.04054,3.1260876,0.043,,0.94,5100.0,0.91,gassy
239,Kepler-670,b,12.0,,,0.037,2.81650521,0.0,,0.94,5597.0,0.87,gassy
240,HATS-48 A,b,8.967,77.23269,0.589,0.03769,3.1316666,0.162,,0.72,4546.0,0.73,gassy
241,K2-261,b,9.528,70.87609,0.483,0.102,11.63344,0.39,G7 IV/V,1.65,5537.0,1.1,gassy
242,HAT-P-33,b,,,,,3.47447613,,,,,,?
243,HAT-P-3,b,10.211,189.10885,0.975,0.03878,2.89973838,,,0.85,5190.0,0.93,gassy
244,HATS-17,b,8.96,,,,16.257799,,,1.09,5846.0,,gassy
245,WASP-55,b,,,,,4.4656294,,,,,,?
246,WASP-38,b,12.3,858.1,2.1,0.076,6.9,0.0,F8 V,,6200.0,,gassy
247,TrES-1,b,,,,,3.0300737,0.0,,0.82,,0.87,?
248,CoRoT-2,b,,,,,1.742997,,,,5696.0,,?
249,WASP-50,b,12.924,464.0318,1.18,0.02945,1.9550938,0.022,,0.84,5400.0,0.89,gassy
250,WASP-62,b,15.02,184.3414,0.32,0.0571,4.41194,0.0,,1.29,6230.0,1.28,gassy
251,WASP-175,b,,,,,3.0652961,,,,,,?
252,HAT-P-19,b,,,,,4.00878403,,,,,,?
253,WASP-58,b,13.341,,,,5.01721119,,,1.1,5930.0,,gassy
254,HATS-55,b,14.022,292.72143,0.587,0.05412,4.2042001,0.092,,1.13,6214.0,1.2,gassy
255,HATS-6,b,,,,,3.3252715,,M1 V,0.57,3724.0,0.57,?
256,WASP-67,b,,,,,4.6144166,,,0.87,5240.0,0.87,?
257,HATS-51,b,,,,,3.3488703,,,1.44,5758.0,1.19,?
258,HATS-13,b,,,,,3.0440546,,,0.89,5523.0,0.96,?
259,HATS-5,b,10.223,75.64354,0.389,0.05428,4.763387,0.044,,0.87,5304.0,0.94,gassy
260,OGLE-TR-113,b,12.453,394.1092,1.21,0.02278,1.4324757,,,0.78,4804.0,0.77,gassy
261,WASP-60,b,9.64,163.358,1.1,0.0531,4.3050011,0.0,G1 V,1.14,5900.0,1.08,gassy
262,Kepler-670,b,17.039,,,,2.817405,,,1.01,5413.0,,gassy
263,Qatar-5,b,,,,,2.8793105,,,1.11,5583.0,0.99,?
264,4 UMa,b,,2256.5,,0.87,269.3,0.432,K1 III,18.11,4415.0,1.23,gassy
265,HAT-P-56,b,19.1,,,,2.7908821,,,1.8,6659.0,,gassy
266,WASP-1,b,16.97,292.0,,,2.5199449,0.0,,,6110.0,,gassy
267,WASP-107,b,,,,,,,,,,,?
268,KELT-15,b,19.504,416.3573,,,3.32944,0.0,,1.78,6003.0,2.06,gassy
269,Kepler-426,b,11.38,,,0.041,3.21751851,0.0,,0.9,5720.0,0.88,gassy
270,HAT-P-3,b,10.043,,,,2.8997405,,,0.82,5224.0,,gassy
271,WASP-85 A,b,,,,,2.6556765,,,,5634.18,,?
272,WASP-31,b,17.374,152.5584,,,3.4,,,1.27,6217.0,1.2,gassy
273,WASP-18,b,12.98,3270.4707,8.83,0.02034,0.94145181,,,1.22,6400.0,1.26,gassy
274,HATS-33,b,12.935,,,0.03731,2.549564,,,1.02,5659.0,1.06,gassy
275,WASP-19,b,15.424,370.27195,0.59451,0.01653,0.788839,0.0077,,0.99,,0.97,gassy
276,WASP-11,b,,,,,3.72247896,,,,,,?
277,Kepler-12,b,,,,,4.43796303,,,1.57,5967.0,1.09,?
278,HAT-P-59,b,12.588,489.45575,1.347,0.05064,4.1419771,0.03,,1.1,5678.0,1.01,gassy
279,WASP-18,b,13.35,3305.432,,0.02087,0.9414526,0.0091,,1.26,6431.0,1.46,gassy
280,WASP-4,b,15.838,393.139,0.774,0.02312,1.33823187,0.0,,0.89,5504.0,0.97,gassy
281,WASP-105,b,15.095,,,,7.87289368,,,1.26,5070.0,,gassy
282,XO-5,b,12.78,378.2,1.06,0.0515,4.1877558,0.0,,1.13,5430.0,1.04,gassy
283,WASP-104,b,12.745,403.00844,1.07,0.0292,1.7554137,0.015,,0.96,5450.0,1.08,gassy
284,HAT-P-12,b,10.637,67.06213,0.328,,3.2130579,0.0,,0.7,4650.0,0.73,gassy
285,WASP-113,b,,,,,4.5421669,,,,,,?
286,WASP-10,b,,,,,3.09272888,,,,,,?
287,KELT-15,b,,,,,3.3294663,,,,,,?
288,WASP-19,b,,,,,0.78883919,,G8 V,,5500.0,,?
289,WASP-79,b,20.4,267.93069,0.178,0.0521,3.6623866,0.066,,1.69,6600.0,1.42,gassy
290,WASP-62,b,15.581,180.52744,0.262,0.05672,4.411953,0.075,,1.28,6230.0,1.25,gassy
291,WASP-36,b,14.359,729.73768,1.354,0.02643,1.5373653,0.019,,0.95,5900.0,1.04,gassy
292,OGLE-2019-BLG-1470L A,c,,985.26806,,2.9,,,,,,0.58,gassy
293,OGLE-2019-BLG-1470L A,c,,1716.2734,,3.5,,,,,,0.56,gassy
294,OGLE-2019-BLG-1470L A,c,,794.57102,,3.0,,,,,,0.6,gassy
295,WASP-24,b,15.499,,,,2.3409909,,,1.35,6090.0,,gassy
296,K2-115,b,12.498,266.9772,0.82,0.1367,20.273034,0.137,,0.88,5560.0,0.83,gassy
297,HD 142245,b,,603.9,,2.77,1299.0,0.09,,5.2,4878.0,1.69,gassy
298,HD 1502,b,,985.2,,1.31,431.8,0.101,,4.5,5049.0,1.61,gassy
299,HD 28678,b,,540.3,,1.25,387.1,0.168,,6.2,5076.0,1.74,gassy
300,HD 5891,b,,2415.4,,0.76,177.11,0.066,,8.7,4907.0,1.91,gassy
301,HD 106270,b,,3496.0,,4.3,2890.0,0.402,,2.5,5638.0,1.32,gassy
302,HD 82886,b,,413.2,,1.65,705.0,0.066,,4.8,5112.0,1.06,gassy
303,HD 116029,b,,667.4,,1.78,670.0,0.054,,4.6,4951.0,1.58,gassy
304,HD 99706,b,,444.9,,2.14,868.0,0.365,,5.4,4932.0,1.72,gassy
305,HD 163607,c,,727.8,,2.42,1314.0,0.12,G5 IV,1.63,5543.0,1.09,gassy
306,HD 164509,b,,152.55,,0.875,282.4,0.26,G5 V,1.06,5922.0,1.13,gassy
307,HD 181720,b,,117.59,,1.78,956.0,0.26,G1 V,1.39,5781.0,0.92,gassy
308,HD 190984,b,,985.2,,5.5,4885.0,0.57,F8 V,1.53,5988.0,0.91,gassy
309,BD-06 1339,c,,53.0,,0.435,125.94,0.31,K7/M0 V,,4324.0,0.7,gassy
310,HD 103774,b,,116.0,,0.07,5.8881,0.09,F5 V,,6489.0,1.33,gassy
311,HD 109271,c,,24.154,,0.196,30.93,0.15,G5 V,,5783.0,1.05,?
312,HD 166724,b,,1121.89,,5.42,5144.0,0.734,K0 IV-V,,5127.0,0.81,gassy
313,HD 220689,b,,336.89,,3.36,2209.0,0.16,G3 V,1.07,5921.0,1.04,gassy
314,HD 27631,b,,460.83,,3.25,2208.0,0.12,G3 IV-V,1.0,5737.0,0.94,gassy
315,HD 30562,b,,436.362,,2.315,1159.2,0.778,F8 V,1.53,5994.0,1.23,gassy
