,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21513,Kepler-1370,b,,,,,20.26416001,,,1.46,6212.47,1.2,?
21514,Kepler-1370,b,1.77,,,0.1563,20.2641684,0.0,,1.28,6292.0,1.25,rocky
21515,Kepler-256,e,,,,,10.6816951,,,1.0,5571.0,0.98,?
21516,Kepler-333,c,1.304,,,,,,,0.64,4211.0,0.67,rocky
21517,Kepler-333,c,1.2,,,0.1373,24.0882568,0.0,,0.58,4159.0,0.59,rocky
21518,Kepler-1101,b,,,,,81.3153052,,,0.76,5391.5,0.94,?
21519,Kepler-1102,b,3.193,,,,,,,1.17,6115.0,,icy
21520,Kepler-1102,b,3.13,,,0.2731,51.3285623,0.0,,1.12,6119.0,1.03,icy
21521,Kepler-1105,b,2.01,,,,4.42157218,,,0.68,4299.0,0.71,rocky
21522,Kepler-1105,b,,,,,4.42153507,,,0.66,4114.0,0.64,?
21523,Kepler-67,b,,,,,15.72589064,,,0.82,5135.0,0.87,?
21524,Kepler-185,b,1.28,,,0.025,1.632916,0.0,,0.78,5174.0,0.77,rocky
21525,Kepler-1282,b,1.65,,,0.0333,2.13194651,0.0,,0.96,5825.0,1.08,rocky
21526,Kepler-1283,b,,,,,12.9462567,,,2.59,6120.0,1.15,?
21527,Kepler-1390,b,,,,,6.48026236,,,1.02,5388.77,0.94,?
21528,Kepler-1390,b,0.92,,,0.0647,6.48021673,0.0,,0.79,5662.0,0.86,rocky
21529,Kepler-1390,b,1.26,,,0.0662,6.4802138,0.0,,0.98,5496.0,0.92,rocky
21530,Kepler-338,c,2.14,,,0.17,24.31058,0.0,,1.51,5897.0,1.1,rocky
21531,Kepler-338,d,2.8,,,0.2564,44.4301361,0.0,,1.74,5923.0,1.14,icy
21532,Kepler-338,e,1.36,,,0.09,9.34131,0.0,,1.51,5897.0,1.1,rocky
21533,Kepler-115,b,1.09,,,0.036,2.403679,,,1.21,5979.0,,rocky
21534,Kepler-116,c,2.47,,,0.113,13.07141889,0.0,,1.44,6122.0,1.12,icy
21535,Kepler-1371,b,0.73,,,,3.4462039,,,0.83,5361.0,0.87,rocky
21536,Kepler-1372,b,,,,,1.31156295,,,1.09,5567.0,0.98,?
21537,Kepler-1372,b,,,,,1.31155891,,,1.09,5567.0,0.98,?
21538,Kepler-236,b,1.745,,,,,,,0.55,3866.0,0.59,rocky
21539,Kepler-1374,b,2.39,,,0.0918,10.65276707,0.0,,0.83,5614.0,0.91,icy
21540,Kepler-327,d,2.444,,,,,,,0.6,3717.0,,icy
21541,Kepler-339,c,1.23,,,0.07,6.98825,0.0,,0.83,5639.0,0.93,rocky
